# Batch creation start at : 2020-08-23 14:41:55.949
kinan0820dv0001;Kinan+0820!;kinan0820dv0001@dev.kinancity.ovh;1947-05-20;US;OK;
kinan0820dv0011;Kinan+0820!;kinan0820dv0011@dev.kinancity.ovh;1950-09-03;US;OK;
kinan0820dv0021;Kinan+0820!;kinan0820dv0021@dev.kinancity.ovh;1949-08-19;US;OK;
kinan0820dv0041;Kinan+0820!;kinan0820dv0041@dev.kinancity.ovh;1952-05-10;US;OK;
kinan0820dv0031;Kinan+0820!;kinan0820dv0031@dev.kinancity.ovh;1959-09-24;US;OK;
kinan0820dv0051;Kinan+0820!;kinan0820dv0051@dev.kinancity.ovh;1987-01-26;US;OK;
kinan0820dv0061;Kinan+0820!;kinan0820dv0061@dev.kinancity.ovh;1997-07-18;US;OK;
kinan0820dv0081;Kinan+0820!;kinan0820dv0081@dev.kinancity.ovh;1970-12-26;US;OK;
kinan0820dv0071;Kinan+0820!;kinan0820dv0071@dev.kinancity.ovh;1985-08-30;US;OK;
kinan0820dv0091;Kinan+0820!;kinan0820dv0091@dev.kinancity.ovh;1964-05-15;US;OK;
# Batch creation end at : 2020-08-23 15:20:34.6
# 10 success, 0 errors
